Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
commons-lang,org.apache.commons.lang3.reflect,TypeUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: WILDCARD_ALL
commons-lang,org.apache.commons.lang3.reflect,TypeUtils.WildcardTypeBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.reflect.testbed,StaticContainer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IMMUTABLE_PUBLIC; mutablePublic
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 36
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest.CloseableObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest.FailureOnOddInvocations,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest.SomeException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.function,FailableFunctionsTest.Testable,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.function,ObjectsTest.TestableFailableSupplier,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.function,ObjectsTest.TestableSupplier,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
commons-lang,org.apache.commons.lang3.function,Failable,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
commons-lang,org.apache.commons.lang3.math,Fraction,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ZERO; ONE; ONE_HALF; ONE_THIRD; TWO_THIRDS; ONE_QUARTER; TWO_QUARTERS; THREE_QUARTERS; ONE_FIFTH; TWO_FIFTHS; THREE_FIFTHS; FOUR_FIFTHS
commons-lang,org.apache.commons.lang3.math,Fraction,Law of Demeter violation,The tool detected the smell in this method (pow) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.math.Fraction.invert; org.apache.commons.lang3.math.Fraction.pow
commons-lang,org.apache.commons.lang3.math,Fraction,Law of Demeter violation,The tool detected the smell in this method (pow) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.math.Fraction.invert; org.apache.commons.lang3.math.Fraction.pow
commons-lang,org.apache.commons.lang3.math,Fraction,Law of Demeter violation,The tool detected the smell in this method (pow) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.commons.lang3.math.Fraction.pow; org.apache.commons.lang3.math.Fraction.multiplyBy
commons-lang,org.apache.commons.lang3.math,NumberUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LONG_ZERO; LONG_ONE; LONG_MINUS_ONE; INTEGER_ZERO; INTEGER_ONE; INTEGER_TWO; INTEGER_MINUS_ONE; SHORT_ZERO; SHORT_ONE; SHORT_MINUS_ONE; BYTE_ZERO; BYTE_ONE; BYTE_MINUS_ONE; DOUBLE_ZERO; DOUBLE_ONE; DOUBLE_MINUS_ONE; FLOAT_ZERO; FLOAT_ONE; FLOAT_MINUS_ONE; LONG_INT_MAX_VALUE; LONG_INT_MIN_VALUE
commons-lang,org.apache.commons.lang3.time,FastDateParserTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
